Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_Pct,Holding_Days,Exit_Reason,Entry_Mode,Regime,Year
2016-04-12,2016-05-02,7708.95,7805.9,1.26,20,ATR_STOP,B,BULL,2016
2016-05-10,2016-05-12,7887.8,7900.4,0.16,2,Z_EXIT,A,BULL,2016
2016-05-19,2016-05-20,7783.4,7749.7,-0.43,1,EMA_CROSS,A,BULL,2016
2016-05-25,2016-05-26,7934.9,8069.65,1.7,1,Z_EXIT,A,BULL,2016
2016-06-24,2016-06-27,8088.6,8094.7,0.08,3,EMA_CROSS,A,BULL,2016
2016-06-30,2016-08-03,8287.75,8544.85,3.1,34,ATR_STOP,B,BULL,2016
2016-08-22,2016-08-25,8629.15,8592.2,-0.43,3,EMA_CROSS,A,BULL,2016
2016-08-30,2016-08-31,8744.35,8786.2,0.48,1,Z_EXIT,A,BULL,2016
2016-09-12,2016-09-19,8715.6,8808.4,1.06,7,Z_EXIT,A,BULL,2016
2016-10-24,2016-10-26,8708.95,8615.25,-1.08,2,EMA_CROSS,A,BEAR,2016
2016-12-08,2016-12-16,8246.85,8139.45,-1.3,8,EMA_CROSS,A,BEAR,2016
2016-12-30,2017-01-05,8185.8,8273.8,1.08,6,Z_EXIT,A,BULL,2016
2017-04-17,2017-04-18,9139.3,9105.15,-0.37,1,EMA_CROSS,A,BULL,2017
2017-04-24,2017-04-25,9217.95,9306.6,0.96,1,Z_EXIT,A,BULL,2017
2017-06-19,2017-06-23,9657.55,9574.95,-0.86,4,EMA_CROSS,B,BULL,2017
2017-07-05,2017-07-10,9637.6,9771.05,1.38,5,Z_EXIT,A,BULL,2017
2017-08-31,2017-09-12,9917.9,10093.05,1.77,12,Z_EXIT,A,BULL,2017
2017-09-22,2017-09-25,9964.4,9872.6,-0.92,3,EMA_CROSS,A,BEAR,2017
2017-10-09,2017-10-12,9988.75,10096.4,1.08,3,Z_EXIT,A,BULL,2017
2017-11-21,2017-11-24,10326.9,10389.7,0.61,3,Z_EXIT,A,BULL,2017
2017-12-11,2017-12-13,10322.25,10192.95,-1.25,2,EMA_CROSS,A,BEAR,2017
2017-12-14,2017-12-18,10252.1,10388.75,1.33,4,Z_EXIT,A,BULL,2017
2018-04-05,2018-04-11,10325.15,10417.15,0.89,6,Z_EXIT,A,BEAR,2018
2018-05-31,2018-06-05,10736.15,10593.15,-1.33,5,EMA_CROSS,A,BULL,2018
2018-06-06,2018-06-11,10684.65,10786.95,0.96,5,Z_EXIT,A,BULL,2018
2018-06-19,2018-06-22,10710.45,10821.85,1.04,3,Z_EXIT,A,BULL,2018
2018-07-05,2018-07-09,10749.75,10852.9,0.96,4,Z_EXIT,A,BULL,2018
2018-11-02,2018-11-14,10553.0,10576.3,0.22,12,Z_EXIT,A,BEAR,2018
2018-12-13,2018-12-14,10791.55,10805.45,0.13,1,Z_EXIT,A,BULL,2018
2018-12-24,2018-12-26,10663.5,10729.85,0.62,2,EMA_CROSS,A,BULL,2018
2018-12-28,2019-01-03,10859.9,10672.25,-1.73,6,ATR_STOP+EMA_CROSS,B,BULL,2018
2019-01-09,2019-01-14,10855.15,10737.6,-1.08,5,EMA_CROSS,A,BULL,2019
2019-01-15,2019-01-25,10886.8,10780.55,-0.98,10,ATR_STOP+EMA_CROSS,B,BULL,2019
2019-02-04,2019-02-05,10912.25,10934.35,0.2,1,Z_EXIT,A,BULL,2019
2019-02-11,2019-02-13,10888.8,10793.65,-0.87,2,EMA_CROSS,A,BEAR,2019
2019-02-25,2019-03-05,10880.1,10987.45,0.99,8,Z_EXIT,A,BULL,2019
2019-04-23,2019-04-24,11575.95,11726.15,1.3,1,Z_EXIT,A,BULL,2019
2019-05-06,2019-05-07,11598.25,11497.9,-0.87,1,EMA_CROSS,A,BULL,2019
2019-05-20,2019-05-22,11828.25,11737.9,-0.76,2,Z_EXIT,A,BULL,2019
2019-06-27,2019-07-08,11841.55,11558.6,-2.39,11,ATR_STOP+EMA_CROSS,A,BEAR,2019
2019-08-28,2019-08-29,11046.1,10948.3,-0.89,1,EMA_CROSS,A,BEAR,2019
2019-09-11,2019-09-17,11035.7,10817.6,-1.98,6,ATR_STOP+EMA_CROSS,A,BEAR,2019
2019-09-20,2019-09-23,11274.2,11600.2,2.89,3,Z_EXIT,A,BULL,2019
2019-10-14,2019-12-03,11341.15,11994.2,5.76,50,ATR_STOP,B,BULL,2019
2019-12-13,2019-12-17,12086.7,12165.0,0.65,4,Z_EXIT,A,BULL,2019
2020-01-10,2020-01-13,12256.8,12329.55,0.59,3,Z_EXIT,A,BULL,2020
2020-01-20,2020-01-22,12224.55,12106.9,-0.96,2,EMA_CROSS,A,BULL,2020
2020-02-07,2020-02-18,12098.35,11992.5,-0.87,11,EMA_CROSS,A,BEAR,2020
2020-04-09,2020-04-23,9111.9,9313.9,2.22,14,Z_EXIT,A,BEAR,2020
2020-05-27,2020-05-28,9314.95,9490.1,1.88,1,Z_EXIT,A,BULL,2020
2020-09-04,2020-09-07,11333.85,11355.05,0.19,3,EMA_CROSS,A,BULL,2020
2020-09-14,2020-09-15,11440.05,11521.8,0.71,1,Z_EXIT,A,BULL,2020
2020-10-01,2020-10-06,11416.95,11662.4,2.15,5,Z_EXIT,A,BULL,2020
2020-11-04,2020-12-21,11908.5,13328.4,11.92,47,ATR_STOP,B,BULL,2020
2021-02-02,2021-02-03,14647.85,14789.95,0.97,1,Z_EXIT,A,BULL,2021
2021-02-25,2021-02-26,15097.35,14529.15,-3.76,1,ATR_STOP+EMA_CROSS,B,BULL,2021
2021-03-03,2021-03-16,15245.6,14910.45,-2.2,13,EMA_CROSS,B,BULL,2021
2021-04-07,2021-04-12,14819.05,14310.8,-3.43,5,ATR_STOP+EMA_CROSS,A,BEAR,2021
2021-04-28,2021-04-29,14864.55,14894.9,0.2,1,Z_EXIT,A,BULL,2021
2021-05-04,2021-05-07,14496.5,14823.15,2.25,3,Z_EXIT,A,BULL,2021
2021-07-05,2021-07-07,15834.35,15879.65,0.29,2,Z_EXIT,A,BULL,2021
2021-07-08,2021-07-09,15727.9,15689.8,-0.24,1,EMA_CROSS,A,BULL,2021
